,txid,blockid,status,creator_msp_id,validation_code,chaincode_proposal_input,chaincode,key,access_type,version_block,version_tx
0,6,7,200.0,Org1MSP,VALID,"5472610736665724173736574,617373657436,436872697374070686572",basic,asset6,READ,"{'low': 6, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
1,13,6,200.0,Org1MSP,VALID,490697406564676572,basic,,READ,,
2,14,8,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,42726164",basic,asset1,READ,"{'low': 6, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
3,15,9,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,5400000",basic,asset1,READ,"{'low': 8, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
4,16,10,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,0690205300",basic,asset1,READ,"{'low': 9, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
5,17,11,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,5400000",basic,asset1,READ,"{'low': 10, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
6,18,12,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,436872697374070686572",basic,asset1,READ,"{'low': 11, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
7,19,13,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,5400000",basic,asset1,READ,"{'low': 12, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
8,20,14,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,436872697374070686572",basic,asset1,READ,"{'low': 13, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
9,21,15,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,5400000",basic,asset1,READ,"{'low': 14, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
10,22,16,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,436872697374070686572",basic,asset1,READ,"{'low': 15, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
11,23,16,200.0,Org2MSP,MVCC_READ_CONFLICT,"5472610736665724173736574,617373657431,5400000",basic,asset1,READ,"{'low': 15, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
12,24,17,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,436872697374070686572",basic,asset1,READ,"{'low': 16, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
13,25,17,200.0,Org2MSP,MVCC_READ_CONFLICT,"5472610736665724173736574,617373657431,5400000",basic,asset1,READ,"{'low': 16, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
14,26,18,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657432,5400000",basic,asset2,READ,"{'low': 6, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
15,27,19,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657433,5400000",basic,asset3,READ,"{'low': 6, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
16,28,20,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657434,5400000",basic,asset4,READ,"{'low': 6, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
17,29,21,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657434,42726164",basic,asset4,READ,"{'low': 20, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
18,30,22,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657434,43687269737469610",basic,asset4,READ,"{'low': 21, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
19,31,23,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657434,42726164",basic,asset4,READ,"{'low': 22, 'high': 0, 'unsigned': True}","{'low': 0, 'high': 0, 'unsigned': True}"
20,6,7,200.0,Org1MSP,VALID,"5472610736665724173736574,617373657436,436872697374070686572",basic,asset6,WRITE,,
21,13,6,200.0,Org1MSP,VALID,490697406564676572,basic,asset1,WRITE,,
22,13,6,200.0,Org1MSP,VALID,490697406564676572,basic,asset2,WRITE,,
23,13,6,200.0,Org1MSP,VALID,490697406564676572,basic,asset3,WRITE,,
24,13,6,200.0,Org1MSP,VALID,490697406564676572,basic,asset4,WRITE,,
25,13,6,200.0,Org1MSP,VALID,490697406564676572,basic,asset5,WRITE,,
26,13,6,200.0,Org1MSP,VALID,490697406564676572,basic,asset6,WRITE,,
27,14,8,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,42726164",basic,asset1,WRITE,,
28,15,9,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,5400000",basic,asset1,WRITE,,
29,16,10,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,0690205300",basic,asset1,WRITE,,
30,17,11,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,5400000",basic,asset1,WRITE,,
31,18,12,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,436872697374070686572",basic,asset1,WRITE,,
32,19,13,200.0,Org2MSP,VALID,"5472610736665724173736574,617373657431,5400000",basic,asset1,WRITE,,
